docId,filename,0 baltimore blood hold,1 bob farm peter,2 mr covey lloyd,3 place round set,4 night family wife,5 master gentleman wife,6 master time made,7 mary master reuben,8 mr friend till,9 mind god years,10 john cotton man,11 grandmother children flint,12 slave slavery free,13 mr boat louis,14 farm presence school,15 stevens till coloured,16 slaves man night,17 master told mr,18 id pb god,19 told long home
0,1861_Harriet_Jacobs.txt,0.00117906825872454,0.0020316937415895773,2.992828219869087E-6,0.020553453117693573,2.302945424072026E-6,1.6925196724025904E-6,0.2177430430567576,3.933384927478826E-6,0.19105702613506387,0.004265765797894565,3.0420903688751484E-6,0.19274752836159534,0.10509250486573639,5.1163718880290295E-5,0.013121045201527346,2.2843829825551585E-6,0.04578819742939164,5.5501396500259735E-6,1.1772851788621632E-6,0.20634653473872114
1,1855_John_Brown.txt,0.0020316681996373075,1.6400593371054416E-4,4.501577674131473E-6,0.2270482645501236,3.4639100356382436E-6,2.5457554562383432E-6,0.2813447670472564,5.916289366610707E-6,0.01248676787818445,0.0016652379610593941,0.1746035560637789,1.8924903575141115E-6,0.06615053040525551,0.017170201800762043,1.6362383078329126E-4,0.11893317625540942,0.08374369104892278,1.1163053433282605E-4,1.7707801076145995E-6,0.014362787687785808
2,1849_Henry_Bibb.txt,0.002231987331038251,1.051215454112162E-5,5.210297958341956E-6,0.035483221042135964,0.23131981499859228,3.615757107928783E-4,0.21291008253486748,3.6547689549366744E-4,0.002856986081438137,1.4721194527604901E-5,5.296059804840799E-6,2.1904406320924073E-6,0.24231159249411868,0.013776751803337517,1.0069894016954078E-5,1.2351999798430608E-4,0.19853974124377297,9.662392614136736E-6,2.049568539580293E-6,0.059659537863793244
3,1860_William_Craft.txt,0.01130170620711264,1.8691177008275965E-5,9.264190421123458E-6,0.03237702737049973,7.128683429412264E-6,0.29364857039839065,0.18694817696469526,0.009151997035103707,0.12102807435117753,0.0014077759839718899,4.3452465103417415E-4,3.894721431310948E-6,0.1972462331973121,0.002177638286984421,1.790481397407095E-5,7.071224069816692E-6,0.0887034729802499,0.00915700164028435,3.6442432627899194E-6,0.046350201879586946
4,1847_William_Wells_Brown.txt,4.549160247542367E-4,0.001793520426624925,0.00150920302409816,0.03765770136603489,2.8137369263465E-4,6.710379804307258E-6,0.25305889669210635,1.5594800586543592E-5,0.04366758831471759,3.352553048153347E-5,1.2061060268327413E-5,4.9884324292772756E-6,0.03783684551784735,0.2725821126695579,0.0019286348085073867,9.05695672634703E-6,0.23503351663487249,2.942479338678836E-4,4.667615282091552E-6,0.11381483811879776
5,1813_Jacob_Green.txt,0.034075520674473773,2.3749276363992955E-5,1.4680827707609932E-4,0.08624109275938051,9.05780694289968E-6,6.656916954886119E-6,0.258604804799745,0.30776494045941327,0.02252397255445082,0.015292446710355831,1.1964967548125352E-5,4.94868865625823E-6,0.06211213803337789,0.003577160684736848,2.2750112265686362E-5,8.984798260239992E-6,0.10933197259254311,0.0036678302171252136,4.6304275192137955E-6,0.09656856924281025
6,1845_Frederick_Douglass.txt,0.1122010348006523,1.1524013287757376E-5,0.18662062298667284,0.021731173235290342,4.395177603228968E-6,3.2301783965053432E-6,0.22010241721214183,7.5068758284185224E-6,0.019316638301009416,6.058622861988691E-4,5.805837740017772E-6,2.4012838520906334E-6,0.12462597380982043,0.0012770942710934952,0.05000653680173024,4.359751133125335E-6,0.16699965106470088,1.0592456612130416E-5,2.2468519647326897E-6,0.0964609328042714
7,1901_Isaac_Johnson.txt,8.92586701229272E-5,0.33465169114174814,2.2751688846572776E-5,0.022615271174574417,1.7507151720661483E-5,1.2866652585523746E-5,0.3881284534769175,2.9901866532023017E-5,4.6939981662157164E-4,5.862886126690914E-4,2.31261831388474E-5,9.564946975530694E-6,0.02635180513040902,0.02675024858627138,4.397197573411166E-5,0.00784745468048764,0.0936071892596169,4.2192548684916104E-5,8.949804033298428E-6,0.09869210663230987
8,1825_William_Grimes.txt,0.0020986525665113048,1.1562877426888335E-4,0.0013852543812419309,0.05985103435657872,3.015993290040774E-4,4.847590440754207E-6,0.42363131264748494,1.1265711994464529E-5,0.008830282391009012,2.2088783818530712E-4,8.712931632360882E-6,3.603652559724107E-6,0.018679972135003556,0.007816627814768431,1.656671211202046E-5,6.54276183008047E-6,0.034087070260547435,0.33946647752910225,3.3718936755355695E-6,0.1034602887220493
9,1849_James_Pennington.txt,0.01792994565033965,0.0030968334232056517,9.933506231415178E-6,0.04098372985385027,7.643713918745796E-6,5.617647749037642E-6,0.2654092345278453,1.270105649822114E-4,0.023793679951824367,0.2571111187652775,0.0018333810733973813,4.1761058278054985E-6,0.08272736944494617,5.586241796211009E-5,0.026684727786507823,7.582103256545427E-6,0.2366445139924141,3.6028724865597644E-4,3.907531205012354E-6,0.043203444690603054
10,1855_John_Thompson.txt,4.988989302274023E-4,0.004089041991996217,5.923349958079226E-6,0.08960410663726971,4.557946757710163E-6,3.3498034614939183E-6,0.20093708628067963,7.57364023574806E-5,0.004335201407980642,0.00796706370055773,7.39723687416213E-5,2.49021198595876E-6,0.031662936787283685,0.003023177643301753,0.040714408515463034,4.521208318647463E-6,0.14464460731731124,8.264029738365466E-4,0.296338909017775,0.17518760750473644
